[2024-03-26 22:35:48.166] [INFO]: cpu memory available: 1870.58 GB, disk space available: 22192.04 GB, keep dataset in memory: True.
[2024-03-26 22:40:30.980] [INFO]: cpu memory available: 1890.55 GB, disk space available: 22184.81 GB, keep dataset in memory: True.
[2024-03-26 22:52:11.816] [INFO]: cpu memory available: 1890.39 GB, disk space available: 22153.79 GB, keep dataset in memory: True.
[2024-03-26 22:57:14.538] [INFO]: cpu memory available: 1888.83 GB, disk space available: 22136.07 GB, keep dataset in memory: True.
[2024-03-26 22:57:27.581] [INFO]: using device: cuda 
[2024-03-26 22:57:29.865] [INFO]: train dataset size: 6820976, steps per epoch:426311; validation dataset size: 18487, steps per validation: 1155; datalodater num_workers: 0.
[2024-03-26 23:06:04.502] [INFO]: training loss: epoch:0, step:2600, loss:5.588990688323975, device:cuda
[2024-03-26 23:06:14.338] [INFO]: training loss: epoch:0, step:2650, loss:4.933943748474121, device:cuda
[2024-03-26 23:06:23.509] [INFO]: training loss: epoch:0, step:2700, loss:5.237082004547119, device:cuda
[2024-03-26 23:06:32.850] [INFO]: training loss: epoch:0, step:2750, loss:5.522487163543701, device:cuda
[2024-03-26 23:06:41.858] [INFO]: training loss: epoch:0, step:2800, loss:5.386009216308594, device:cuda
[2024-03-26 23:06:51.256] [INFO]: training loss: epoch:0, step:2850, loss:5.433409214019775, device:cuda
[2024-03-26 23:07:00.997] [INFO]: training loss: epoch:0, step:2900, loss:5.460849761962891, device:cuda
[2024-03-26 23:07:10.638] [INFO]: training loss: epoch:0, step:2950, loss:5.449328899383545, device:cuda
[2024-03-26 23:07:20.249] [INFO]: training loss: epoch:0, step:3000, loss:5.286422252655029, device:cuda
[2024-03-26 23:07:29.472] [INFO]: training loss: epoch:0, step:3050, loss:5.469649791717529, device:cuda
[2024-03-26 23:07:38.411] [INFO]: training loss: epoch:0, step:3100, loss:5.356725215911865, device:cuda
[2024-03-26 23:07:47.689] [INFO]: training loss: epoch:0, step:3150, loss:5.445446491241455, device:cuda
[2024-03-26 23:07:56.874] [INFO]: training loss: epoch:0, step:3200, loss:5.1660566329956055, device:cuda
[2024-03-26 23:08:06.379] [INFO]: training loss: epoch:0, step:3250, loss:5.658174514770508, device:cuda
[2024-03-26 23:08:16.152] [INFO]: training loss: epoch:0, step:3300, loss:5.349621772766113, device:cuda
[2024-03-26 23:08:25.943] [INFO]: training loss: epoch:0, step:3350, loss:5.325189113616943, device:cuda
[2024-03-26 23:08:34.870] [INFO]: training loss: epoch:0, step:3400, loss:5.2856221199035645, device:cuda
[2024-03-26 23:08:44.601] [INFO]: training loss: epoch:0, step:3450, loss:5.238987922668457, device:cuda
[2024-03-26 23:08:53.909] [INFO]: training loss: epoch:0, step:3500, loss:5.189769268035889, device:cuda
[2024-03-26 23:09:03.202] [INFO]: training loss: epoch:0, step:3550, loss:5.547800540924072, device:cuda
[2024-03-26 23:09:12.729] [INFO]: training loss: epoch:0, step:3600, loss:5.446191310882568, device:cuda
[2024-03-26 23:09:22.323] [INFO]: training loss: epoch:0, step:3650, loss:5.0060133934021, device:cuda
[2024-03-26 23:09:31.424] [INFO]: training loss: epoch:0, step:3700, loss:5.27465295791626, device:cuda
[2024-03-26 23:09:41.140] [INFO]: training loss: epoch:0, step:3750, loss:5.297898769378662, device:cuda
[2024-03-26 23:09:51.046] [INFO]: training loss: epoch:0, step:3800, loss:5.337593078613281, device:cuda
[2024-03-26 23:10:00.485] [INFO]: training loss: epoch:0, step:3850, loss:5.440525054931641, device:cuda
[2024-03-26 23:10:10.071] [INFO]: training loss: epoch:0, step:3900, loss:5.025100231170654, device:cuda
[2024-03-26 23:10:19.672] [INFO]: training loss: epoch:0, step:3950, loss:5.1731648445129395, device:cuda
[2024-03-26 23:10:29.533] [INFO]: training loss: epoch:0, step:4000, loss:5.360533714294434, device:cuda
[2024-03-26 23:10:38.680] [INFO]: training loss: epoch:0, step:4050, loss:5.289134502410889, device:cuda
[2024-03-26 23:10:48.227] [INFO]: training loss: epoch:0, step:4100, loss:5.220457077026367, device:cuda
[2024-03-26 23:10:57.883] [INFO]: training loss: epoch:0, step:4150, loss:5.275115966796875, device:cuda
[2024-03-26 23:11:07.590] [INFO]: training loss: epoch:0, step:4200, loss:5.36926794052124, device:cuda
[2024-03-26 23:11:16.771] [INFO]: training loss: epoch:0, step:4250, loss:5.447653293609619, device:cuda
[2024-03-26 23:11:26.149] [INFO]: training loss: epoch:0, step:4300, loss:5.115849494934082, device:cuda
[2024-03-26 23:11:35.092] [INFO]: training loss: epoch:0, step:4350, loss:4.69499397277832, device:cuda
[2024-03-26 23:11:44.980] [INFO]: training loss: epoch:0, step:4400, loss:5.0048441886901855, device:cuda
[2024-03-26 23:11:54.269] [INFO]: training loss: epoch:0, step:4450, loss:4.7246503829956055, device:cuda
[2024-03-26 23:12:03.939] [INFO]: training loss: epoch:0, step:4500, loss:5.0562310218811035, device:cuda
[2024-03-26 23:12:13.892] [INFO]: training loss: epoch:0, step:4550, loss:4.80350923538208, device:cuda
[2024-03-26 23:12:23.953] [INFO]: training loss: epoch:0, step:4600, loss:5.26615571975708, device:cuda
[2024-03-26 23:12:33.416] [INFO]: training loss: epoch:0, step:4650, loss:4.816146373748779, device:cuda
[2024-03-26 23:12:43.314] [INFO]: training loss: epoch:0, step:4700, loss:5.32786750793457, device:cuda
[2024-03-26 23:12:53.083] [INFO]: training loss: epoch:0, step:4750, loss:5.201034069061279, device:cuda
[2024-03-26 23:13:03.114] [INFO]: training loss: epoch:0, step:4800, loss:5.0440778732299805, device:cuda
[2024-03-26 23:13:13.103] [INFO]: training loss: epoch:0, step:4850, loss:5.197450160980225, device:cuda
[2024-03-26 23:13:23.056] [INFO]: training loss: epoch:0, step:4900, loss:5.126943111419678, device:cuda
[2024-03-26 23:13:32.575] [INFO]: training loss: epoch:0, step:4950, loss:4.865259647369385, device:cuda
[2024-03-26 23:13:42.327] [INFO]: training loss: epoch:0, step:5000, loss:4.881626605987549, device:cuda
[2024-03-26 23:13:51.860] [INFO]: training loss: epoch:0, step:5050, loss:4.440221309661865, device:cuda
[2024-03-26 23:14:01.269] [INFO]: training loss: epoch:0, step:5100, loss:5.296081066131592, device:cuda
[2024-03-26 23:14:10.512] [INFO]: training loss: epoch:0, step:5150, loss:5.020310878753662, device:cuda
[2024-03-26 23:14:20.237] [INFO]: training loss: epoch:0, step:5200, loss:4.866089344024658, device:cuda
[2024-03-26 23:14:30.148] [INFO]: training loss: epoch:0, step:5250, loss:4.706927299499512, device:cuda
[2024-03-26 23:14:39.394] [INFO]: training loss: epoch:0, step:5300, loss:4.697937488555908, device:cuda
[2024-03-26 23:14:49.176] [INFO]: training loss: epoch:0, step:5350, loss:5.164281845092773, device:cuda
[2024-03-26 23:14:58.826] [INFO]: training loss: epoch:0, step:5400, loss:4.770959854125977, device:cuda
[2024-03-26 23:15:08.378] [INFO]: training loss: epoch:0, step:5450, loss:5.125348091125488, device:cuda
[2024-03-26 23:15:18.252] [INFO]: training loss: epoch:0, step:5500, loss:5.3207926750183105, device:cuda
[2024-03-26 23:15:28.455] [INFO]: training loss: epoch:0, step:5550, loss:4.902407169342041, device:cuda
[2024-03-26 23:15:38.385] [INFO]: training loss: epoch:0, step:5600, loss:5.064023494720459, device:cuda
[2024-03-26 23:15:48.161] [INFO]: training loss: epoch:0, step:5650, loss:4.790934085845947, device:cuda
[2024-03-26 23:15:58.299] [INFO]: training loss: epoch:0, step:5700, loss:4.915457248687744, device:cuda
[2024-03-26 23:16:08.113] [INFO]: training loss: epoch:0, step:5750, loss:5.291542053222656, device:cuda
[2024-03-26 23:16:18.106] [INFO]: training loss: epoch:0, step:5800, loss:4.341647148132324, device:cuda
[2024-03-26 23:16:27.506] [INFO]: training loss: epoch:0, step:5850, loss:5.081067085266113, device:cuda
[2024-03-26 23:16:37.220] [INFO]: training loss: epoch:0, step:5900, loss:5.049846649169922, device:cuda
[2024-03-26 23:16:46.807] [INFO]: training loss: epoch:0, step:5950, loss:5.058339595794678, device:cuda
[2024-03-26 23:16:56.007] [INFO]: training loss: epoch:0, step:6000, loss:5.10991907119751, device:cuda
[2024-03-26 23:17:06.061] [INFO]: training loss: epoch:0, step:6050, loss:4.8789963722229, device:cuda
[2024-03-26 23:17:15.421] [INFO]: training loss: epoch:0, step:6100, loss:5.310151100158691, device:cuda
[2024-03-26 23:17:25.079] [INFO]: training loss: epoch:0, step:6150, loss:4.985152244567871, device:cuda
[2024-03-26 23:17:34.457] [INFO]: training loss: epoch:0, step:6200, loss:4.964428424835205, device:cuda
[2024-03-26 23:17:44.017] [INFO]: training loss: epoch:0, step:6250, loss:5.075108051300049, device:cuda
[2024-03-26 23:17:54.002] [INFO]: training loss: epoch:0, step:6300, loss:4.997210502624512, device:cuda
[2024-03-26 23:18:03.151] [INFO]: training loss: epoch:0, step:6350, loss:4.586034774780273, device:cuda
[2024-03-26 23:18:12.305] [INFO]: training loss: epoch:0, step:6400, loss:4.847472667694092, device:cuda
[2024-03-26 23:18:21.246] [INFO]: training loss: epoch:0, step:6450, loss:4.9691877365112305, device:cuda
[2024-03-26 23:18:30.304] [INFO]: training loss: epoch:0, step:6500, loss:4.590714454650879, device:cuda
[2024-03-26 23:18:39.923] [INFO]: training loss: epoch:0, step:6550, loss:4.912148475646973, device:cuda
[2024-03-26 23:18:49.944] [INFO]: training loss: epoch:0, step:6600, loss:4.7697343826293945, device:cuda
[2024-03-26 23:18:59.294] [INFO]: training loss: epoch:0, step:6650, loss:4.989405632019043, device:cuda
[2024-03-26 23:19:08.891] [INFO]: training loss: epoch:0, step:6700, loss:4.845064640045166, device:cuda
[2024-03-26 23:19:18.811] [INFO]: training loss: epoch:0, step:6750, loss:4.731836795806885, device:cuda
[2024-03-26 23:19:28.656] [INFO]: training loss: epoch:0, step:6800, loss:5.017929553985596, device:cuda
[2024-03-26 23:19:37.795] [INFO]: training loss: epoch:0, step:6850, loss:5.050191879272461, device:cuda
[2024-03-26 23:19:47.559] [INFO]: training loss: epoch:0, step:6900, loss:4.751896381378174, device:cuda
[2024-03-26 23:19:57.302] [INFO]: training loss: epoch:0, step:6950, loss:4.804893493652344, device:cuda
[2024-03-26 23:20:07.348] [INFO]: training loss: epoch:0, step:7000, loss:4.556665897369385, device:cuda
[2024-03-26 23:20:16.972] [INFO]: training loss: epoch:0, step:7050, loss:4.518610954284668, device:cuda
[2024-03-26 23:20:27.321] [INFO]: training loss: epoch:0, step:7100, loss:4.7634382247924805, device:cuda
[2024-03-26 23:20:37.203] [INFO]: training loss: epoch:0, step:7150, loss:4.6478681564331055, device:cuda
[2024-03-26 23:20:47.740] [INFO]: training loss: epoch:0, step:7200, loss:4.479865550994873, device:cuda
[2024-03-26 23:20:57.228] [INFO]: training loss: epoch:0, step:7250, loss:4.701051235198975, device:cuda
[2024-03-26 23:21:07.212] [INFO]: training loss: epoch:0, step:7300, loss:4.885595798492432, device:cuda
[2024-03-26 23:21:17.091] [INFO]: training loss: epoch:0, step:7350, loss:4.681501865386963, device:cuda
[2024-03-26 23:21:26.795] [INFO]: training loss: epoch:0, step:7400, loss:4.821181297302246, device:cuda
[2024-03-26 23:21:37.077] [INFO]: training loss: epoch:0, step:7450, loss:4.604736328125, device:cuda
[2024-03-26 23:21:46.601] [INFO]: training loss: epoch:0, step:7500, loss:5.14276647567749, device:cuda
[2024-03-26 23:21:56.826] [INFO]: training loss: epoch:0, step:7550, loss:5.022420883178711, device:cuda
[2024-03-26 23:22:07.424] [INFO]: training loss: epoch:0, step:7600, loss:4.336216449737549, device:cuda
[2024-03-26 23:22:17.776] [INFO]: training loss: epoch:0, step:7650, loss:4.67021369934082, device:cuda
[2024-03-26 23:22:28.253] [INFO]: training loss: epoch:0, step:7700, loss:4.4152913093566895, device:cuda
[2024-03-26 23:22:37.372] [INFO]: training loss: epoch:0, step:7750, loss:4.366644382476807, device:cuda
[2024-03-26 23:22:46.657] [INFO]: training loss: epoch:0, step:7800, loss:4.380334377288818, device:cuda
[2024-03-26 23:22:56.266] [INFO]: training loss: epoch:0, step:7850, loss:4.795018672943115, device:cuda
[2024-03-26 23:23:06.147] [INFO]: training loss: epoch:0, step:7900, loss:4.979089736938477, device:cuda
[2024-03-26 23:23:15.750] [INFO]: training loss: epoch:0, step:7950, loss:4.346822261810303, device:cuda
[2024-03-26 23:23:25.685] [INFO]: training loss: epoch:0, step:8000, loss:4.136813640594482, device:cuda
[2024-03-26 23:23:34.798] [INFO]: training loss: epoch:0, step:8050, loss:4.47392463684082, device:cuda
[2024-03-26 23:23:44.108] [INFO]: training loss: epoch:0, step:8100, loss:4.612476348876953, device:cuda
[2024-03-26 23:23:52.730] [INFO]: training loss: epoch:0, step:8150, loss:4.797834396362305, device:cuda
[2024-03-26 23:24:02.273] [INFO]: training loss: epoch:0, step:8200, loss:4.837916851043701, device:cuda
[2024-03-26 23:24:11.002] [INFO]: training loss: epoch:0, step:8250, loss:4.5681586265563965, device:cuda
[2024-03-26 23:24:20.219] [INFO]: training loss: epoch:0, step:8300, loss:4.351051330566406, device:cuda
[2024-03-26 23:24:29.392] [INFO]: training loss: epoch:0, step:8350, loss:4.59470272064209, device:cuda
[2024-03-26 23:24:38.368] [INFO]: training loss: epoch:0, step:8400, loss:4.747570037841797, device:cuda
[2024-03-26 23:24:47.580] [INFO]: training loss: epoch:0, step:8450, loss:4.496819972991943, device:cuda
[2024-03-26 23:24:56.237] [INFO]: training loss: epoch:0, step:8500, loss:4.038080215454102, device:cuda
[2024-03-26 23:25:05.271] [INFO]: training loss: epoch:0, step:8550, loss:4.454574108123779, device:cuda
[2024-03-26 23:25:14.129] [INFO]: training loss: epoch:0, step:8600, loss:4.948258399963379, device:cuda
[2024-03-26 23:25:23.479] [INFO]: training loss: epoch:0, step:8650, loss:4.745769500732422, device:cuda
[2024-03-26 23:25:31.999] [INFO]: training loss: epoch:0, step:8700, loss:4.454125881195068, device:cuda
[2024-03-26 23:25:41.109] [INFO]: training loss: epoch:0, step:8750, loss:4.3456196784973145, device:cuda
[2024-03-26 23:25:50.112] [INFO]: training loss: epoch:0, step:8800, loss:3.895749092102051, device:cuda
[2024-03-26 23:25:59.710] [INFO]: training loss: epoch:0, step:8850, loss:4.664454460144043, device:cuda
[2024-03-26 23:26:08.681] [INFO]: training loss: epoch:0, step:8900, loss:4.289557933807373, device:cuda
[2024-03-26 23:26:17.165] [INFO]: training loss: epoch:0, step:8950, loss:4.882948398590088, device:cuda
[2024-03-26 23:26:26.830] [INFO]: training loss: epoch:0, step:9000, loss:4.707204341888428, device:cuda
[2024-03-26 23:26:35.302] [INFO]: training loss: epoch:0, step:9050, loss:4.6062092781066895, device:cuda
[2024-03-26 23:26:44.376] [INFO]: training loss: epoch:0, step:9100, loss:4.604741096496582, device:cuda
[2024-03-26 23:26:53.954] [INFO]: training loss: epoch:0, step:9150, loss:4.5030364990234375, device:cuda
[2024-03-26 23:27:03.340] [INFO]: training loss: epoch:0, step:9200, loss:4.611897945404053, device:cuda
[2024-03-26 23:27:12.712] [INFO]: training loss: epoch:0, step:9250, loss:4.391116142272949, device:cuda
[2024-03-26 23:27:21.948] [INFO]: training loss: epoch:0, step:9300, loss:4.6202545166015625, device:cuda
[2024-03-26 23:27:30.962] [INFO]: training loss: epoch:0, step:9350, loss:4.0788726806640625, device:cuda
[2024-03-26 23:27:39.763] [INFO]: training loss: epoch:0, step:9400, loss:4.639103889465332, device:cuda
[2024-03-26 23:27:48.503] [INFO]: training loss: epoch:0, step:9450, loss:4.679614067077637, device:cuda
[2024-03-26 23:27:57.255] [INFO]: training loss: epoch:0, step:9500, loss:4.37452507019043, device:cuda
[2024-03-26 23:28:06.459] [INFO]: training loss: epoch:0, step:9550, loss:4.332176208496094, device:cuda
[2024-03-26 23:28:15.440] [INFO]: training loss: epoch:0, step:9600, loss:4.1685099601745605, device:cuda
[2024-03-26 23:28:24.066] [INFO]: training loss: epoch:0, step:9650, loss:4.8527350425720215, device:cuda
[2024-03-26 23:28:32.528] [INFO]: training loss: epoch:0, step:9700, loss:4.548188209533691, device:cuda
[2024-03-26 23:28:41.437] [INFO]: training loss: epoch:0, step:9750, loss:4.626693248748779, device:cuda
[2024-03-26 23:28:50.312] [INFO]: training loss: epoch:0, step:9800, loss:4.435721397399902, device:cuda
[2024-03-26 23:28:57.971] [INFO]: training loss: epoch:0, step:9850, loss:4.333212852478027, device:cuda
[2024-03-26 23:29:06.875] [INFO]: training loss: epoch:0, step:9900, loss:4.571131706237793, device:cuda
[2024-03-26 23:29:14.625] [INFO]: training loss: epoch:0, step:9950, loss:4.3105974197387695, device:cuda
[2024-03-26 23:29:24.529] [INFO]: training loss: epoch:0, step:10000, loss:4.397698879241943, device:cuda
[2024-03-26 23:29:33.175] [INFO]: training loss: epoch:0, step:10050, loss:4.205338478088379, device:cuda
[2024-03-26 23:29:42.735] [INFO]: training loss: epoch:0, step:10100, loss:4.0206756591796875, device:cuda
[2024-03-26 23:29:51.839] [INFO]: training loss: epoch:0, step:10150, loss:4.276867866516113, device:cuda
[2024-03-26 23:30:01.283] [INFO]: training loss: epoch:0, step:10200, loss:4.766348838806152, device:cuda
[2024-03-26 23:30:12.281] [INFO]: training loss: epoch:0, step:10250, loss:4.565869331359863, device:cuda
[2024-03-26 23:30:21.803] [INFO]: training loss: epoch:0, step:10300, loss:4.40043306350708, device:cuda
[2024-03-26 23:30:31.286] [INFO]: training loss: epoch:0, step:10350, loss:4.69606876373291, device:cuda
[2024-03-26 23:30:40.435] [INFO]: training loss: epoch:0, step:10400, loss:4.604402542114258, device:cuda
[2024-03-26 23:30:49.605] [INFO]: training loss: epoch:0, step:10450, loss:3.9738776683807373, device:cuda
[2024-03-26 23:30:58.592] [INFO]: training loss: epoch:0, step:10500, loss:4.238693714141846, device:cuda
[2024-03-26 23:31:08.024] [INFO]: training loss: epoch:0, step:10550, loss:4.624938488006592, device:cuda
[2024-03-26 23:31:17.355] [INFO]: training loss: epoch:0, step:10600, loss:4.055906295776367, device:cuda
[2024-03-26 23:31:26.690] [INFO]: training loss: epoch:0, step:10650, loss:4.215008735656738, device:cuda
[2024-03-26 23:31:35.667] [INFO]: training loss: epoch:0, step:10700, loss:4.635515213012695, device:cuda
[2024-03-26 23:31:44.846] [INFO]: training loss: epoch:0, step:10750, loss:4.634609699249268, device:cuda
[2024-03-26 23:31:53.900] [INFO]: training loss: epoch:0, step:10800, loss:4.328407287597656, device:cuda
[2024-03-26 23:32:03.302] [INFO]: training loss: epoch:0, step:10850, loss:3.7382190227508545, device:cuda
[2024-03-26 23:32:12.774] [INFO]: training loss: epoch:0, step:10900, loss:4.388792037963867, device:cuda
[2024-03-26 23:32:22.473] [INFO]: training loss: epoch:0, step:10950, loss:4.50779914855957, device:cuda
[2024-03-26 23:32:31.920] [INFO]: training loss: epoch:0, step:11000, loss:4.2002410888671875, device:cuda
[2024-03-26 23:32:41.102] [INFO]: training loss: epoch:0, step:11050, loss:3.550919532775879, device:cuda
[2024-03-26 23:32:50.668] [INFO]: training loss: epoch:0, step:11100, loss:4.338587760925293, device:cuda
[2024-03-26 23:33:00.670] [INFO]: training loss: epoch:0, step:11150, loss:4.460766315460205, device:cuda
[2024-03-26 23:33:10.047] [INFO]: training loss: epoch:0, step:11200, loss:4.431933403015137, device:cuda
[2024-03-26 23:33:18.896] [INFO]: training loss: epoch:0, step:11250, loss:5.031123638153076, device:cuda
[2024-03-26 23:33:28.345] [INFO]: training loss: epoch:0, step:11300, loss:3.9921822547912598, device:cuda
[2024-03-26 23:33:37.436] [INFO]: training loss: epoch:0, step:11350, loss:4.430642604827881, device:cuda
[2024-03-26 23:33:47.165] [INFO]: training loss: epoch:0, step:11400, loss:4.098696231842041, device:cuda
[2024-03-26 23:33:56.451] [INFO]: training loss: epoch:0, step:11450, loss:4.293447971343994, device:cuda
[2024-03-26 23:34:05.350] [INFO]: training loss: epoch:0, step:11500, loss:4.160827159881592, device:cuda
[2024-03-26 23:34:14.799] [INFO]: training loss: epoch:0, step:11550, loss:4.237702369689941, device:cuda
[2024-03-26 23:34:24.450] [INFO]: training loss: epoch:0, step:11600, loss:4.310055732727051, device:cuda
[2024-03-26 23:34:34.026] [INFO]: training loss: epoch:0, step:11650, loss:4.553224563598633, device:cuda
[2024-03-26 23:34:42.915] [INFO]: training loss: epoch:0, step:11700, loss:4.842721939086914, device:cuda
[2024-03-26 23:34:52.859] [INFO]: training loss: epoch:0, step:11750, loss:4.272663116455078, device:cuda
[2024-03-26 23:35:02.561] [INFO]: training loss: epoch:0, step:11800, loss:4.2353596687316895, device:cuda
[2024-03-26 23:35:12.165] [INFO]: training loss: epoch:0, step:11850, loss:3.991831064224243, device:cuda
[2024-03-26 23:35:21.486] [INFO]: training loss: epoch:0, step:11900, loss:4.214207649230957, device:cuda
[2024-03-26 23:35:30.838] [INFO]: training loss: epoch:0, step:11950, loss:4.234625339508057, device:cuda
[2024-03-26 23:35:40.696] [INFO]: training loss: epoch:0, step:12000, loss:4.012689113616943, device:cuda
[2024-03-26 23:35:49.789] [INFO]: training loss: epoch:0, step:12050, loss:4.388104438781738, device:cuda
[2024-03-26 23:35:59.411] [INFO]: training loss: epoch:0, step:12100, loss:4.483351707458496, device:cuda
[2024-03-26 23:36:08.317] [INFO]: training loss: epoch:0, step:12150, loss:4.257049560546875, device:cuda
[2024-03-26 23:36:17.259] [INFO]: training loss: epoch:0, step:12200, loss:4.151010036468506, device:cuda
